,Arable_crop,Year,Area,AreaM
1,wheat,2008,2080210,2.08021
2,barley,2008,1032034,1.032034
3,oilseed rape,2008,598147.54,0.59814754
4,wheat,2009,1775337.11,1.77533711
5,barley,2009,1142982.472,1.142982472
6,oilseed rape,2009,569921.4295,0.56992143
7,wheat,2010,1938578,1.938578
8,barley,2010,921162,0.921162
9,oilseed rape,2010,641562,0.641562
10,wheat,2011,1969383.4,1.9693834
11,barley,2011,969755.7,0.9697557
12,oilseed rape,2011,704559.4,0.7045594
13,wheat,2012,1991874.8,1.9918748
14,barley,2012,1002183.2,1.0021832
15,oilseed rape,2012,755684.9,0.7556849
16,wheat,2013,1614511.4,1.6145114
17,barley,2013,1212996.7,1.2129967
18,oilseed rape,2013,715218.5,0.7152185
19,wheat,2014,1935736.72,1.93573672
20,barley,2014,1079825.52,1.07982552
21,oilseed rape,2014,674647.32,0.67464732
22,wheat,2015,1832311.8,1.8323118
23,barley,2015,1100919.7,1.1009197
24,oilseed rape,2015,652315.1,0.6523151
25,wheat,2016,1823336.13,1.82333613
26,barley,2016,1122408.63,1.12240863
27,oilseed rape,2016,579169.81,0.57916981
28,wheat,2017,1791830.295,1.791830295
29,barley,2017,1176740.776,1.176740776
30,oilseed rape,2017,562398.8541,0.562398854
31,wheat,2018,1747673.43,1.74767343
32,barley,2018,1138141.46,1.13814146
33,oilseed rape,2018,583271.36,0.58327136
34,wheat,2019,1815768.58,1.81576858
35,barley,2019,1162225.71,1.16222571
36,oilseed rape,2019,529697.96,0.52969796
